chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	247750000	248900000	1	247750000	248900000	255,255,0	0.65123	0.25691	0.31384	0.57471	0.43494
1	242040000	243200000	1	242040000	243200000	255,255,0	0.70052	0.24929	0.26143	0.40369	0.65636
1	104300000	105190000	1	104300000	105190000	255,255,0	1.1463	0.24301	0.15786	0.73131	0.56768
1	194460000	195790000	1	194460000	195790000	255,255,0	0.52461	0.18724	0.21053	0.41701	0.49209
1	247770000	248580000	1	247770000	248580000	255,255,0	0.78233	0.13542	0.25334	0.66159	0.41043
1	68930000	70250000	1	68930000	70250000	255,255,0	1.2335	0.18351	0.19827	0.76561	0.66736
1	4700000	5560000	1	4700000	5560000	255,255,0	0.61133	0.16721	0.17697	0.50135	0.42239
1	106540000	107700000	1	106540000	107700000	255,255,0	0.92364	0.17477	0.16289	0.56243	0.65874
1	193130000	194280000	1	193130000	194280000	255,255,0	1.0698	0.17432	0.16189	0.79855	0.54416
1	105290000	106250000	1	105290000	106250000	255,255,0	0.99192	0.15362	0.16941	0.67057	0.60851
1	3990000	4680000	1	3990000	4680000	255,255,0	1.2633	0.18786	0.12087	0.78235	0.57227
1	2690000	3340000	1	2690000	3340000	255,255,0	1.5569	0.18887	0.11057	0.68371	0.91193
1	245230000	246170000	1	245230000	246170000	255,255,0	1.0158	0.15294	0.14455	0.73608	0.51698
1	189390000	190380000	1	189390000	190380000	255,255,0	1.0929	0.1461	0.14766	0.56327	0.78408
1	169860000	170900000	1	169860000	170900000	255,255,0	1.4476	0.13051	0.159	0.86058	0.68639
1	231860000	232770000	1	231860000	232770000	255,255,0	1.0327	0.14817	0.13255	0.71981	0.63478
1	118560000	119580000	1	118560000	119580000	255,255,0	1.3645	0.13382	0.12764	0.86041	0.68646
1	34090000	35220000	1	34090000	35220000	255,255,0	1.6529	0.12813	0.13231	0.8844	0.87155
1	86180000	86820000	1	86180000	86820000	255,255,0	1.1407	0.13664	0.12297	0.57617	0.78223
1	101960000	102700000	1	101960000	102700000	255,255,0	1.0186	0.13196	0.11776	0.79182	0.45289
1	79940000	80660000	1	79940000	80660000	255,255,0	1.1691	0.12067	0.11418	0.66358	0.73071
1	190480000	191120000	1	190480000	191120000	255,255,0	1.0455	0.12633	0.1016	0.75098	0.55957
1	74470000	75170000	1	74470000	75170000	255,255,0	0.99825	0.10388	0.12384	0.46041	0.77878
1	219360000	220010000	1	219360000	220010000	255,255,0	1.0071	0.099447	0.12722	0.52557	0.77841
1	191160000	191810000	1	191160000	191810000	255,255,0	0.65809	0.11392	0.10919	0.46686	0.49716
1	82500000	83170000	1	82500000	83170000	255,255,0	1.0924	0.10114	0.11208	0.68895	0.6426
1	198710000	199460000	1	198710000	199460000	255,255,0	1.4542	0.097709	0.11187	0.87553	0.74502
1	17380000	17740000	1	17380000	17740000	255,255,0	1.5666	0.11316	0.086454	0.8179	0.82407
1	159180000	159750000	1	159180000	159750000	255,255,0	1.3052	0.10764	0.091849	0.83867	0.66434
1	96700000	97200000	1	96700000	97200000	255,255,0	1.0196	0.084203	0.115	0.6176	0.6464
1	103020000	103450000	1	103020000	103450000	255,255,0	0.96244	0.089885	0.10924	0.53222	0.68896
1	174990000	175120000	1	174990000	175120000	255,255,0	0.84114	0.11536	0.083664	0.5	0.5
1	217950000	218410000	1	217950000	218410000	255,255,0	1.2795	0.091997	0.10696	0.57845	0.9017
1	159310000	159740000	1	159310000	159740000	255,255,0	1.272	0.11752	0.081377	0.52597	0.87662
1	220440000	220820000	1	220440000	220820000	255,255,0	1.3051	0.085826	0.113	0.86981	0.66482
1	196680000	197120000	1	196680000	197120000	255,255,0	1.0726	0.10339	0.095418	0.75175	0.58945
1	26350000	26760000	1	26350000	26760000	255,255,0	1.058	0.084167	0.11455	0.53095	0.73095
1	94490000	94810000	1	94490000	94810000	255,255,0	1.0768	0.097997	0.10069	0.64453	0.64453
1	36980000	37910000	1	36980000	37910000	255,255,0	1.8022	0.092492	0.10618	0.9445	0.90564
1	185800000	186120000	1	185800000	186120000	255,255,0	0.84412	0.10232	0.096314	0.58203	0.52734
1	210810000	211310000	1	210810000	211310000	255,255,0	1.0491	0.10544	0.092254	0.56304	0.7542
1	51220000	51680000	1	51220000	51680000	255,255,0	1.1793	0.083811	0.11377	0.74102	0.68431
1	207260000	207600000	1	207260000	207600000	255,255,0	1.2669	0.079825	0.1174	0.85813	0.65052
1	8430000	8820000	1	8430000	8820000	255,255,0	1.1851	0.087864	0.10932	0.82368	0.58684
1	150560000	150940000	1	150560000	150940000	255,255,0	0.92506	0.092188	0.10482	0.62937	0.55194
1	110700000	111050000	1	110700000	111050000	255,255,0	1.1302	0.11486	0.081683	0.70261	0.69608
1	117190000	117600000	1	117190000	117600000	255,255,0	1.223	0.11491	0.081277	0.72016	0.74808
1	147210000	147350000	1	147210000	147350000	255,255,0	0.87648	0.031947	0.16401	0.53874	0.55437
1	240890000	241670000	1	240890000	241670000	255,255,0	1.2929	0.10173	0.093413	0.52597	0.87574
1	22000000	22380000	1	22000000	22380000	255,255,0	1.1906	0.088363	0.10669	0.74238	0.7036
1	211480000	211850000	1	211480000	211850000	255,255,0	1.1668	0.10237	0.092315	0.75146	0.71637
1	191920000	192420000	1	191920000	192420000	255,255,0	1.1962	0.091685	0.10237	0.6752	0.7712
1	38490000	39310000	1	38490000	39310000	255,255,0	1.7283	0.096038	0.097169	0.91196	0.91142
1	145120000	145300000	1	145120000	145300000	255,255,0	1.1813	0.065784	0.12735	0.66667	0.71605
1	157930000	158130000	1	157930000	158130000	255,255,0	1.1222	0.095317	0.097332	0.65139	0.63528
1	63330000	63790000	1	63330000	63790000	255,255,0	1.2212	0.095283	0.096674	0.83932	0.62382
1	2350000	2500000	1	2350000	2500000	255,255,0	0.99232	0.094735	0.097098	0.5971	0.61496
1	233510000	233940000	1	233510000	233940000	255,255,0	1.0654	0.11837	0.073027	0.78139	0.50866
1	144920000	145100000	1	144920000	145100000	255,255,0	1.0412	0.13856	0.052278	0.61728	0.69136
1	186360000	186980000	1	186360000	186980000	255,255,0	1.8093	0.10708	0.083379	0.88866	0.9282
1	229780000	230380000	1	229780000	230380000	255,255,0	1.5581	0.096608	0.093842	0.89444	0.83889
