chr	start	end
chr1	13	16
chr1	17	19
chr1	21	23
chr1	23	26
chr1	23	32
chr1	27	32
chr1	35	37
chr1	37	60
chr1	40	45
chr1	55	60
chr1	60	80
chr1	62	65
chr1	67	70
chr1	70	79
chr1	80	91
chr1	81	84
chr1	85	89
chr1	91	93
chr1	93	96
chr1	96	100
chr1	96	105
chr1	100	105
chr1	105	111
chr1	105	121
chr1	107	110
chr1	112	118
chr1	114	117
chr1	121	123
chr1	123	127
chr1	127	142
chr1	138	142
chr1	142	149
chr1	142	158
chr1	149	154
chr1	154	157
chr1	158	161
chr1	161	164
chr1	164	166
chr1	166	168
chr1	168	173
chr1	173	202
chr1	174	177
chr1	179	187
chr1	179	192
chr1	189	192
chr1	192	195
chr1	196	200
chr1	202	205
chr1	202	210
chr1	205	209
chr1	210	223
chr1	211	216
chr1	216	219
chr1	220	223
chr1	225	233
chr1	230	233
chr1	233	238
chr1	235	238
chr1	238	241
chr1	241	243
chr1	244	250
chr1	245	248
chr1	250	256
chr1	252	255
chr1	256	258
chr1	258	262
chr1	258	264
chr1	264	268
chr1	269	272
chr1	274	277
chr1	274	281
chr1	277	280
chr1	282	285
chr1	287	290
chr1	291	296
chr1	291	311
chr1	298	301
chr1	311	340
chr1	312	315
chr1	318	321
chr1	322	325
chr1	326	329
chr1	329	333
chr1	333	336
chr1	337	340
chr1	340	352
chr1	342	345
chr1	352	363
chr1	353	357
chr1	359	363
chr1	363	365
chr1	365	369
chr1	369	379
chr1	371	376
chr1	379	382
chr1	379	393
chr1	384	393
chr1	385	390
chr1	393	395
chr1	395	402
chr1	402	405
chr1	405	409
chr1	410	415
chr1	417	420
chr1	417	436
chr1	420	423
chr1	424	433
chr1	428	433
chr1	433	436
chr1	436	439
chr1	436	446
chr1	439	446
chr1	442	445
chr1	446	451
chr1	451	468
chr1	452	455
chr1	452	459
chr1	464	467
chr1	468	471
chr1	471	479
chr1	476	479
chr1	479	482
chr1	479	484
chr1	479	508
chr1	512	517
chr1	517	523
chr1	523	525
chr1	525	537
chr1	528	532
chr1	537	539
chr1	539	542
chr1	542	555
chr1	545	552
chr1	546	550
chr1	555	558
chr1	560	573
chr1	564	571
chr1	573	592
chr1	589	592
chr1	592	596
chr1	592	602
chr1	602	629
chr1	620	624
chr1	626	629
chr1	629	633
chr1	641	647
chr1	647	653
chr1	653	655
chr1	657	666
chr1	667	669
chr1	671	673
chr1	674	680
chr1	676	680
chr1	680	683
chr1	684	710
chr1	685	689
chr1	706	710
chr1	780	786
chr1	849	852
chr1	852	854
chr1	854	858
chr1	854	876
chr1	872	876
chr1	876	881
chr1	876	891
chr1	891	894
chr1	894	899
chr1	899	905
chr1	902	905
chr1	905	919
chr1	919	924
chr1	924	933
chr1	927	931
chr1	933	935
chr1	935	937
chr1	940	943
chr1	943	945
chr1	945	949
chr1	949	953
chr1	953	955
chr1	1002	1010
chr1	1014	1018
chr1	1014	1020
chr1	1078	1081
chr1	1078	1093
chr1	1083	1087
chr1	1083	1093
chr1	1093	1095
chr1	1096	1098
chr1	1098	1106
chr1	1101	1106
chr1	1103	1106
chr1	1106	1129
chr1	1107	1110
chr1	1111	1114
chr1	1117	1120
chr1	1120	1123
chr1	1126	1129
chr1	1129	1133
chr1	1134	1136
chr1	1137	1143
chr1	1143	1145
chr1	1145	1149
chr1	1149	1153
chr1	1153	1161
chr1	1161	1163
chr1	1166	1171
chr1	1172	1176
chr1	1180	1183
chr1	1180	1198
chr1	1198	1200
chr1	1448	1451
chr1	1448	1469
chr1	1499	1502
chr1	1502	1514
chr1	1505	1510
chr1	1514	1519
chr1	1521	1531
chr1	1534	1536
chr1	1537	1540
chr1	1541	1544
chr1	1541	1552
chr1	1546	1549
chr1	1552	1556
chr1	1552	1560
chr1	1560	1563
chr1	1563	1566
chr1	1566	1569
chr1	1570	1581
chr1	1571	1575
chr1	1576	1580
chr1	1581	1592
chr1	1587	1591
chr1	1592	1597
chr1	1597	1600
chr1	1600	1604
chr1	1604	1606
chr1	1607	1610
chr1	1611	1614
chr1	1614	1617
chr1	1617	1620
chr1	1620	1624
chr1	1625	1628
chr1	1625	1652
chr1	1628	1633
chr1	1653	1656
chr1	1653	1668
chr1	1656	1659
chr1	1660	1663
chr1	1660	1668
chr1	1668	1671
chr1	1668	1675
chr1	1672	1675
chr1	1675	1677
chr1	1677	1681
chr1	1682	1695
chr1	1683	1686
chr1	1686	1692
chr1	1688	1691
chr1	1695	1698
chr1	1698	1718
chr1	1714	1718
chr1	1720	1724
chr1	1726	1734
chr1	1726	1751
chr1	1731	1734
chr1	1734	1738
chr1	1741	1751
chr1	1747	1750
chr1	1751	1753
chr1	1753	1759
chr1	1759	1784
chr1	1784	1790
chr1	1785	1788
chr1	1790	1794
chr1	1794	1797
chr1	1798	1802
chr1	1802	1805
chr1	1805	1809
chr1	1805	1828
chr1	1809	1812
chr1	1813	1821
chr1	1813	1825
chr1	1814	1817
chr1	1821	1824
chr1	1825	1828
chr1	1829	1833
chr1	1829	1836
chr1	1836	1839
chr1	1839	1847
chr1	1847	1850
chr1	1985	1987
chr1	1987	1993
chr1	1994	2000
chr1	2002	2005
chr1	2005	2009
chr1	2005	2012
chr1	2013	2018
chr1	2015	2018
chr1	2018	2030
chr1	2019	2022
chr1	2022	2026
chr1	2027	2030
chr1	2030	2037
chr1	2030	2058
chr1	2032	2035
chr1	2037	2041
chr1	2037	2052
chr1	2041	2044
chr1	2045	2048
chr1	2049	2052
chr1	2052	2055
chr1	2058	2066
chr1	2066	2072
chr1	2068	2072
chr1	2072	2077
chr1	2080	2082
chr1	2082	2085
chr1	2085	2095
chr1	2097	2100
chr1	2100	2114
chr1	2114	2117
chr1	2114	2132
chr1	2118	2122
chr1	2118	2126
chr1	2122	2125
chr1	2126	2129
chr1	2126	2132
chr1	2129	2132
chr1	2133	2148
chr1	2144	2148
chr1	2201	2204
chr1	2209	2216
chr1	2210	2214
chr1	2216	2223
chr1	2219	2222
chr1	2223	2233
chr1	2227	2233
chr1	2241	2243
chr1	2243	2246
chr1	2248	2251
chr1	2251	2256
chr1	2256	2260
chr1	2256	2266
chr1	2263	2266
chr1	2266	2268
chr1	2268	2271
chr1	2272	2281
chr1	2277	2281
chr1	2282	2287
chr1	2288	2294
chr1	2294	2297
chr1	2297	2306
chr1	2298	2304
chr1	2308	2314
chr1	2314	2318
chr1	2318	2335
chr1	2329	2334
chr1	2335	2342
chr1	2336	2339
chr1	2342	2345
chr1	2347	2352
chr1	2353	2356
chr1	2356	2360
chr1	2360	2362
chr1	2362	2367
chr1	2444	2446
chr1	2447	2450
chr1	2450	2452
chr1	2452	2465
chr1	2452	2470
chr1	2457	2462
chr1	2466	2469
chr1	2470	2477
