chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	215860000	218390000	1	215860000	218390000	255,255,0	0.22276	0.42195	0.43043	0.41626	0.42388
1	104460000	105160000	1	104460000	105160000	255,255,0	0.36061	0.39336	0.3491	0.41061	0.41224
1	3990000	6010000	1	3990000	6010000	255,255,0	0.82221	0.40302	0.31274	0.47299	0.64837
1	2680000	3330000	1	2680000	3330000	255,255,0	0.7832	0.35275	0.36231	0.57765	0.58523
1	97400000	98970000	1	97400000	98970000	255,255,0	0.54411	0.35719	0.35119	0.46008	0.50549
1	218450000	220000000	1	218450000	220000000	255,255,0	0.7846	0.31237	0.35987	0.65668	0.497
1	189340000	190410000	1	189340000	190410000	255,255,0	0.52986	0.34014	0.33037	0.4392	0.54612
1	49360000	50820000	1	49360000	50820000	255,255,0	0.70779	0.33454	0.32698	0.43648	0.60799
1	236760000	237760000	1	236760000	237760000	255,255,0	0.73361	0.29976	0.29621	0.5636	0.5684
1	69020000	70270000	1	69020000	70270000	255,255,0	0.64819	0.28612	0.30877	0.55684	0.5553
1	57290000	58690000	1	57290000	58690000	255,255,0	0.78333	0.27919	0.29764	0.58449	0.60837
1	216890000	217970000	1	216890000	217970000	255,255,0	0.45225	0.26012	0.28981	0.44719	0.41975
1	34100000	35210000	1	34100000	35210000	255,255,0	1.1166	0.25482	0.28966	0.74058	0.65747
1	17980000	18900000	1	17980000	18900000	255,255,0	1.2254	0.2429	0.27555	0.75236	0.69849
1	90530000	91660000	1	90530000	91660000	255,255,0	0.56272	0.21942	0.29641	0.43766	0.46867
1	118530000	119960000	1	118530000	119960000	255,255,0	1.1762	0.25192	0.26257	0.72124	0.70755
1	79950000	80650000	1	79950000	80650000	255,255,0	0.77425	0.26375	0.24542	0.40082	0.60245
1	158170000	159040000	1	158170000	159040000	255,255,0	0.70667	0.25631	0.21543	0.41173	0.6686
1	169860000	170920000	1	169860000	170920000	255,255,0	1.1386	0.2282	0.24141	0.72766	0.60555
1	79160000	79840000	1	79160000	79840000	255,255,0	0.67734	0.22901	0.22604	0.52076	0.40571
1	60430000	61300000	1	60430000	61300000	255,255,0	0.87264	0.20171	0.21909	0.49894	0.6797
1	213400000	214370000	1	213400000	214370000	255,255,0	1.2715	0.21197	0.19768	0.70918	0.73852
1	245240000	246170000	1	245240000	246170000	255,255,0	1.0699	0.18968	0.19744	0.76966	0.52729
1	95760000	96550000	1	95760000	96550000	255,255,0	1.2721	0.15559	0.211	0.84808	0.55449
1	231870000	232770000	1	231870000	232770000	255,255,0	1.1367	0.18394	0.16408	0.7116	0.63506
1	230750000	231390000	1	230750000	231390000	255,255,0	0.7666	0.17948	0.16769	0.4502	0.62012
1	63300000	64010000	1	63300000	64010000	255,255,0	1.2578	0.17126	0.17563	0.77302	0.75556
1	198700000	199470000	1	198700000	199470000	255,255,0	1.4056	0.16309	0.17143	0.79352	0.74561
1	36980000	37910000	1	36980000	37910000	255,255,0	1.6479	0.14823	0.181	0.8913	0.79741
1	210580000	211320000	1	210580000	211320000	255,255,0	1.4538	0.14467	0.17554	0.84222	0.70855
1	218490000	219260000	1	218490000	219260000	255,255,0	1.4389	0.12351	0.1516	0.89811	0.60864
1	38490000	39310000	1	38490000	39310000	255,255,0	1.703	0.12172	0.12928	0.85782	0.8614
1	229790000	230410000	1	229790000	230410000	255,255,0	1.6076	0.11468	0.13032	0.88866	0.82726
1	221030000	221380000	1	221030000	221380000	255,255,0	1.2932	0.10848	0.091516	0.80065	0.69608
1	70680000	70980000	1	70680000	70980000	255,255,0	1.3213	0.09201	0.1077	0.64889	0.78222
